username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,
"LmnbbzQnkgEm0R3;2018-09-20 20:28;0;0;""‹â‹â_‹ö‹âÜ‹Ä_•_•_•_ÂÔ ‹â_‹âµ‹Ä©•_¥•_‹_‹¤‹ÛŠü_‹Õ‹Ù‹âö‹ÛÏ‹£•_•_•_ô©(*>‰Ð_<*)ó¦"";;;;""1042978845232492544"";https://twitter.com/LmnbbzQnkgEm0R3/status/1042978845232492544",,,,,,,,
"4Buddah;2018-09-20 20:28;0;0;""https://twitter.com/filmsbyjasmine/status/1042947962635280384 ‰Û_"";Ova West/West Shore;;;""1042978845228519424"";https://twitter.com/4Buddah/status/1042978845228519424",,,,,,,,
"cokeys_world;2018-09-20 20:28;0;0;""I made 20 dollars of the Browns !!!"";#dmv / #Cr;;;""1042978844934856704"";https://twitter.com/cokeys_world/status/1042978844934856704",,,,,,,,
"yo_me2018;2018-09-20 20:28;0;0;""‹â‹â_‹Î‹¬‹Ä_"";¾Ñ´¾ÏÂ;;;""1042978844720812032"";https://twitter.com/yo_me2018/status/1042978844720812032",,,,,,,,
"Treball_jay;2018-09-20 20:28;0;0;"""";2017 Evans HighScool;;;""1042978844645326848"";https://twitter.com/Treball_jay/status/1042978844645326848",,,,,,,,
"Leonsand;2018-09-20 20:28;0;0;""åÁåÁåÁCosita seria esta doÌ±a neoyorquina!!! https://www.facebook.com/miltonsand/posts/10156025100748212 ‰Û_"";;;;""1042978844452573184"";https://twitter.com/Leonsand/status/1042978844452573184",,,,,,,,
"TerrryLeee;2018-09-20 20:28;0;0;""What is this meltdown Thursday"";Canada;;;""1042978844305571841"";https://twitter.com/TerrryLeee/status/1042978844305571841",,,,,,,,
"SxmCuervo;2018-09-20 20:28;0;0;""MÌÁs compaÌ±eros como mi amix que solo Ì©l se emborracha y me da a escoger todo el material que sho quiera para las exposiciones. Siempre la responsabilidad es primero"";Donde rompen las olasåÊ_ÙÎ_;;;""1042978844230250496"";https://twitter.com/SxmCuervo/status/1042978844230250496",,,,,,,,
"dzubagfx;2018-09-20 20:28;0;0;""ah"," mas a cachoeira faz mÌ_ cota jÌÁ e no rap e funk eu n fui literalmente ""carregado"" asjsjajs"";;;;""1042978844225896448"";https://twitter.com/dzubagfx/status/1042978844225896448",,,,,,,
"_TheyLoveMo;2018-09-20 20:28;0;0;""This is why I‰Ûªm friendless. https://twitter.com/btrillaaa/status/1042952340548988928 ‰Û_"";;;;""1042978844146167809"";https://twitter.com/_TheyLoveMo/status/1042978844146167809",,,,,,,,
"ChaseFilesxXx;2018-09-20 20:28;0;0;""Oh you a freak freak https://www.instagram.com/p/Bn-RuGUHlQ7C8xx0NQZBbTJvBd8lqqTF1Bc7Rw0/?utm_source=ig_twitter_share&igshid=azssfi09aav1 ‰Û_"";Philadelphia"," PA;;;""1042978843982737408"";https://twitter.com/ChaseFilesxXx/status/1042978843982737408",,,,,,,
"QueenEndaya;2018-09-20 20:28;0;0;""uy bagsaaaak! https://www.facebook.com/100008468401022/posts/2028203554138572/ ‰Û_"";;;;""1042978843919712256"";https://twitter.com/QueenEndaya/status/1042978843919712256",,,,,,,,
"randombones;2018-09-20 20:28;0;0;""Me when I play my music in @ cam_wardaddy truck and he wants to change it. https://twitter.com/beapeabear/status/1042279339956621317 ‰Û_"";San Marcos"," TX;@;;""1042978843819212801"";https://twitter.com/randombones/status/1042978843819212801",,,,,,,
"tweetsfrom12;2018-09-20 20:28;0;0;""nigga had me goneeee"";loading..;;;""1042978843672408064"";https://twitter.com/tweetsfrom12/status/1042978843672408064",,,,,,,,
"halfbloodpixie;2018-09-20 20:28;0;0;""Me too!!!"";Gangneung-si"," Republic of Korea;;;""1042978843517046786"";https://twitter.com/halfbloodpixie/status/1042978843517046786",,,,,,,
"Jotasucesso014;2018-09-20 20:28;0;0;""O que eu queria https://twitter.com/brurosaf/status/1042978738697252865 ‰Û_"";Rio de Janeiro"," Brasil;;;""1042978843382800384"";https://twitter.com/Jotasucesso014/status/1042978843382800384",,,,,,,
"7MDChaudhary;2018-09-20 20:28;0;0;""agur hum fit rhe to dr sir ki kamay kese hogi"";Gujarat"," India;;;""1042978843231830016"";https://twitter.com/7MDChaudhary/status/1042978843231830016",,,,,,,
"SandipGhose;2018-09-20 20:28;0;0;""Glad that tweets like mine put a moral onus on the ""liberals""and come out of their silence to join the protest. Happy that I could contribute in my own small way. Will do more of it in times to come if the need arises. Hope not. Ok Tata."";mostly on the road;;;""1042978843106074624"";https://twitter.com/SandipGhose/status/1042978843106074624",,,,,,,,
"EliisaPizzano;2018-09-20 20:28;0;0;""Estamos igual"";Maracay"," Venezuela;;;""1042978842908844033"";https://twitter.com/EliisaPizzano/status/1042978842908844033",,,,,,,
