username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
futami2310;2018-09-26 15:36;0;0;"緑川くん的に言ったら 「頭隠して尻隠さず」 ってこういうことですな〜…息子が朝から一生懸命穴掘りしてるから雨降りだけど私もがんばろ〜 pic.twitter.com/jBryZhG3Zl";;;;"1045079586306813952";https://twitter.com/futami2310/status/1045079586306813952
benwrightsbooks;2018-09-26 15:36;0;0;"https://twitter.com/FraserNelson/status/1045038966242717696 …";London, England;;;"1045079584629239808";https://twitter.com/benwrightsbooks/status/1045079584629239808
malananani;2018-09-26 15:36;0;0;"definitelyyyyyyy";ivesghanistan;;;"1045079584310546432";https://twitter.com/malananani/status/1045079584310546432
mt3500vvvf;2018-09-26 15:36;0;0;"景色が綺麗ですね";船橋 江戸川区 新宿;;;"1045079583802908672";https://twitter.com/mt3500vvvf/status/1045079583802908672
kayplays1;2018-09-26 15:36;0;0;"Haha I’ll get there! And as soon as I get chance I’m gonna put some time into watching thise videos and figuring more stuff out";;;;"1045079580342652928";https://twitter.com/kayplays1/status/1045079580342652928
plus_crab;2018-09-26 15:36;0;0;"おはおは！ 帝釈天、無事運極になりました クーフーリンが使いたくてやってましたわ ところで帝釈天どこで使おうか() pic.twitter.com/k8YQkDApDd";マコトさんの隣;;;"1045079579012919296";https://twitter.com/plus_crab/status/1045079579012919296
asim10s;2018-09-26 15:36;0;0;"لن ارد على سفاسف الأمور";طيبة ليس يوجد مثلها;;;"1045079575053684737";https://twitter.com/asim10s/status/1045079575053684737
chxrylgbt;2018-09-26 15:36;0;0;"";southside serpent;;;"1045079574646837248";https://twitter.com/chxrylgbt/status/1045079574646837248
anna_yakumo;2018-09-26 15:36;0;0;"おはようございます〜";東京 新宿区;;;"1045079572100730881";https://twitter.com/anna_yakumo/status/1045079572100730881
hisukeee89;2018-09-26 15:36;0;0;"新潟って … くるくる詐欺が多くって 気付くと温帯低気圧に変わったり どっか行っちゃってるんだよね ～ 何度、期待を裏切られたか （笑） 今回もその方向でお願いします ！";;;;"1045079570855079936";https://twitter.com/hisukeee89/status/1045079570855079936
