username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kawaiiLeo___;2018-09-21 08:12;0;0;"# HappyNayeonDay 헐 내 사랑 . .. pic.twitter.com/BGxshOcKsb";국뷔메인 김신왕여 미사코코 레오른;;#;"1043156066299564033";https://twitter.com/kawaiiLeo___/status/1043156066299564033
_reinhardtrey;2018-09-21 08:12;0;0;"나연 누나 사랑해요 pic.twitter.com/qsRvmgbMZY";upd;;;"1043156066186354688";https://twitter.com/_reinhardtrey/status/1043156066186354688
deobaeri1485;2018-09-21 08:12;0;0;"Ambyar pic.twitter.com/rzBipE0Kho";Indonesia;;;"1043156066047934464";https://twitter.com/deobaeri1485/status/1043156066047934464
AjNDULkaZDT0xBq;2018-09-21 08:12;0;0;"いえいえ〜 他の子も描く予定あったらぜひ見たい……";;;;"1043156065712406528";https://twitter.com/AjNDULkaZDT0xBq/status/1043156065712406528
nokNochu_97;2018-09-21 08:12;0;0;"เสียดายแทนเลยค่ะ หาแลกตอนนี้ก็น่าจะยากแล้วนะคะ";;;;"1043156065422954501";https://twitter.com/nokNochu_97/status/1043156065422954501
jinrou_tanoshii;2018-09-21 08:12;0;0;"イラストぉぉおぉおぉぉ！ ゆづちゃんってヒプマイ知ってたっけ？？？？← え？ほのは愛してる";お別れはブロ解で(´˘`＊);;;"1043156065301364736";https://twitter.com/jinrou_tanoshii/status/1043156065301364736
yuiriy_sakura;2018-09-21 08:12;0;0;"可愛い";日本 埼玉;;;"1043156065267867656";https://twitter.com/yuiriy_sakura/status/1043156065267867656
youjung_bogum;2018-09-21 08:12;0;0;"유정언니 생일 축하합니다！！ Happy Birthday 誕生日おめでとうございます！！ ファンクラブ入れて、愛も深まって、笑笑これからも頑張って下さい大好き # 김유정 # キムユジョン # KimYouJung # KimYooJung # HappyYoojungDay # 金裕貞pic.twitter.com/dvZoVTi85y";;;# # # # # #;"1043156064890380294";https://twitter.com/youjung_bogum/status/1043156064890380294
ssul_D_D;2018-09-21 08:12;0;0;"헛..! 삼겹살 좋져..!!! 저녁은 든든하게 드셔서 다행이에요";카츠키 마음 속;;;"1043156064462458880";https://twitter.com/ssul_D_D/status/1043156064462458880
margothperezm;2018-09-21 08:12;0;0;"Cuando te dicen alista todo que nos vamos!... -1";Barranquilla, Colombia;;;"1043156064328400898";https://twitter.com/margothperezm/status/1043156064328400898
taakun68141;2018-09-21 08:12;0;0;"いい事ー";;;;"1043156064265359360";https://twitter.com/taakun68141/status/1043156064265359360
guro41228;2018-09-21 08:12;0;1;"可愛い〜";;;;"1043156064257040386";https://twitter.com/guro41228/status/1043156064257040386
mii_9118;2018-09-21 08:12;0;0;"すばるくんに向けたツイートが流れてて何か幸せになる";;;;"1043156064122810369";https://twitter.com/mii_9118/status/1043156064122810369
kt2kn1h7;2018-09-21 08:12;0;0;"ありがと〜う先生かいたら止まらなくってみんな描いちゃった(*∩´ω`∩*)";;;;"1043156063200063488";https://twitter.com/kt2kn1h7/status/1043156063200063488
jun2997;2018-09-21 08:12;0;0;"やっとGETできた〜 pic.twitter.com/jQESjC3UIF";;;;"1043156063149670401";https://twitter.com/jun2997/status/1043156063149670401
Berrandaaa;2018-09-21 08:12;0;0;"I’m just so happy and my heart is so full. life is honestly great.";IG/SC-berrandaaa;;;"1043156062973636608";https://twitter.com/Berrandaaa/status/1043156062973636608
kan8_kan8;2018-09-21 08:12;0;0;"関ジャニ∞全国デビュー14周年おめでとー すばちゃん37歳のお誕生日おめでとう # 関ジャニ # 渋谷すばるpic.twitter.com/MFRwz6Iuup";;;# #;"1043156062931537921";https://twitter.com/kan8_kan8/status/1043156062931537921
